%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1517688553999100703,63,1517688542120066881,/gps,0,1,21.3117966667,-157.889281667,10.3,0.5625,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,2.25,1
1517688554978703567,64,1517688543095449924,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688555974493458,65,1517688544103075027,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688556972945557,66,1517688545094831943,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688557993539097,67,1517688546118616104,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688558963176773,68,1517688547094120025,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688559919005428,69,1517688548038017988,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688560906916049,70,1517688549045690059,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688561899589652,71,1517688550037281036,/gps,0,1,21.3117966667,-157.88928,10.3,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688562983367980,72,1517688551124730110,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688563959116635,73,1517688552068464994,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688564964199313,74,1517688553092201948,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688565980095058,75,1517688554099704027,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688566960716592,76,1517688555043484926,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
1517688567965429124,77,1517688556098961114,/gps,0,1,21.3117966667,-157.88928,10.4,0.6241,0.0,0.0,0.0,0.6241,0.0,0.0,0.0,2.4964,1
